city,lat,lon,delay,number
Ontario,34.06,-117.6,36.0,19391
Orlando,28.43,-81.31,34.0,123854
Paducah,37.06,-88.77,29.0,656
Palm Springs,33.83,-116.51,34.0,9898
Panama City,30.36,-85.8,23.0,4463
Pasco/Kennewick/Richland,46.26,-119.12,30.0,3757
Pellston,45.57,-84.8,24.0,1077
Pensacola,30.47,-87.19,23.0,5900
Peoria,40.66,-89.69,33.0,2895
Petersburg,56.8,-132.95,22.0,718
Philadelphia,39.87,-75.24,34.0,72129
Phoenix,33.43,-112.01,37.0,157817
Pittsburgh,40.49,-80.23,26.0,24980
Plattsburgh,44.65,-73.47,36.0,366
Pocatello,42.91,-112.6,30.0,919
Portland,43.65,-70.31,31.0,6165
Portland,45.59,-122.6,32.0,58169
Providence,41.72,-71.43,27.0,12434
Punta Gorda,26.92,-81.99,27.0,78
Raleigh/Durham,35.88,-78.79,33.0,34382
Rapid City,44.05,-103.06,27.0,2957
Redding,40.51,-122.29,30.0,958
Reno,39.5,-119.77,35.0,13955
Rhinelander,45.63,-89.47,34.0,1015
Richmond,37.51,-77.32,32.0,15561
Roanoke,37.33,-79.98,32.0,2160
Rochester,43.91,-92.5,22.0,1194
Rochester,43.12,-77.67,28.0,7182
Rock Springs,41.59,-109.07,21.0,635
Roswell,33.3,-104.53,44.0,437
Sacramento,38.7,-121.59,39.0,40845
Saginaw/Bay City/Midland,43.53,-84.08,26.0,1945
Salt Lake City,40.79,-111.98,31.0,108061
San Angelo,31.36,-100.5,43.0,983
San Antonio,29.53,-98.47,33.0,30543
San Diego,32.73,-117.19,35.0,77184
San Francisco,37.62,-122.38,39.0,169497
San Jose,37.36,-121.93,38.0,41607
San Luis Obispo,35.24,-120.64,33.0,3133
Santa Ana,33.68,-117.87,36.0,42072
Santa Barbara,34.43,-119.84,34.0,5853
Santa Fe,35.62,-106.09,44.0,1174
Santa Maria,34.9,-120.46,34.0,540
Sarasota/Bradenton,27.4,-82.55,30.0,3246
Sault Ste. Marie,46.25,-84.47,27.0,678
Savannah,32.13,-81.2,32.0,7137
Scranton/Wilkes-Barre,41.34,-75.72,32.0,1627
Seattle,47.45,-122.31,36.0,131783
Shreveport,32.45,-93.83,31.0,5849
Sioux Falls,43.58,-96.74,32.0,4136
Sitka,57.05,-135.36,23.0,1355
South Bend,41.71,-86.32,32.0,5236
Spokane,47.62,-117.54,29.0,9968
Springfield,39.84,-89.68,29.0,1687
Springfield,37.25,-93.39,29.0,2734
St. Augustine,29.96,-81.34,37.0,191
St. George,37.04,-113.51,30.0,2068
St. Louis,38.75,-90.37,36.0,54884
State College,40.85,-77.85,33.0,722
Sun Valley/Hailey/Ketchum,43.5,-114.3,28.0,1126
Syracuse,43.11,-76.11,30.0,5740
Tallahassee,30.4,-84.35,23.0,2540
Tampa,27.98,-82.53,31.0,67167
Texarkana,33.45,-93.99,40.0,833
Traverse City,44.74,-85.58,29.0,2168
Trenton,40.28,-74.81,28.0,2074
Tucson,32.12,-110.94,32.0,15893
Tulsa,36.2,-95.89,27.0,13784
Twin Falls,42.48,-114.49,27.0,1085
Tyler,32.35,-95.4,20.0,412
Valdosta,30.78,-83.28,32.0,1022
Valparaiso,30.48,-86.53,25.0,4145
Waco,31.61,-97.23,34.0,1376
Washington,38.9,-77.25,31.0,109726
West Palm Beach/Palm Beach,26.68,-80.1,35.0,23879
West Yellowstone,44.69,-111.12,42.0,224
White Plains,41.07,-73.71,38.0,6983
Wichita Falls,33.99,-98.49,26.0,817
Wichita,37.65,-97.43,25.0,7741
Williston,48.18,-103.64,20.0,1611
Wilmington,34.27,-77.9,22.0,2549
Worcester,42.27,-71.88,38.0,695
Wrangell,56.48,-132.37,21.0,713
Yakutat,59.5,-139.66,16.0,702
Yuma,32.66,-114.61,27.0,1959
